State,totalAggrevatedAssault,totalrobberies,totalMurders,robberyFirearms,robberyKnives,roberyOtherWeapons,murderHandguns,murderRfiles,murderShotgun,murderKnives
Alabama,14986,3311,267,567, 1218, 1526,100,67,33,67
Alaska,4377,896,47,103, 575, 218,7,3,0,8
Arizona,20471,6331,339,3174, 1348, 1809,139,12,6,45
Arkansas,11150,1457,218,557, 647, 253,66,6,5,17
California,105343,54311,1739,13366, 10960, 29985,834,24,27,252
Colorado,13035,3483,207,824, 2538, 121,99,2,8,27
Connecticut,4294,2194,83,735, 1361, 98,10,2,0,18
Delaware,2837,866,48,8, 525, 333,14,1,2,4
District of Columbia,3971,2415,151,348, 674, 1393,120,0,0,20
Florida,55504,16874,568,9759, 7005, 110,410,11,10,44
Georgia,17481,6766,33,1288, 5114, 364,6,1,0,10
Hawaii,1545,857,32,256, 150, 451,14,2,2,4
Idaho,2681,186,864,100, 66, 20,592,14,4,77
Illinois,1525,346,371,70, 63, 213,136,10,7,33
Indiana,13761,5192,43,2885, 1784, 523,6,2,2,8
Iowa,1284,766,110,188, 84, 494,47,0,2,7
Kansas,7512,1181,237,818, 320, 43,112,12,6,17
Kentucky,2039,1195,521,930, 145, 120,233,12,5,30
Louisiana,16901,4462,23,4191, 166, 105,6,0,1,2
Maine,801,228,470,186, 26, 16,345,1,10,39
Maryland,16135,9716,136,138, 8344, 1234,37,0,1,25
Massachusetts,16265,4011,550,2569, 936, 506,166,17,11,31
Michigan,30849,5627,104,3153, 1622, 852,36,4,0,16
Minnesota,6762,2940,142,1004, 517, 1419,99,3,2,7
Mississippi,2173,978,555,505, 88, 385,235,16,9,40
Missouri,20677,5061,34,1298, 3526, 237,9,3,0,2
Montana,2613,223,146, 37, 40,36,22,0,1,5
Nebraska,3368,732,201,406, 73, 253,46,1,1,23
Nevada,9976,3832,21,1208, 1079, 1545,6,0,0,3
New Hampshire,1417,333,286,201, 41, 91,152,0,2,37
New Jersey,10463,6364,137,2769, 1537, 2058,39,3,0,23
New Mexico,11324,530,546,439, 58, 33,254,6,10,124
New York,42538,18020,479,12876, 1544, 3600,231,15,16,44
North Carolina,16339,5367,16,3809, 1391, 167,8,0,0,1
North Dakota,1284,158,546,75, 53, 30,184,3,7,49
Ohio,16456,8386,202,6730, 418, 1238,95,7,3,28
Oklahoma,13054,2790,81,1904, 718, 168,30,3,1,12
Oregon,6814,2405,787,2116, 209, 80,464,17,7,83
Pennsylvania,23576,9742,16,5282, 1999, 2461,1,1,1,2
Rhode Island,1366,454,386,169, 196, 89,188,8,6,29
South Carolina,16129,3154,13,2864, 57, 233,5,0,0,4
South Dakota,1737,207,496,95, 80, 32,245,26,8,28
Tennessee,31086,7151,1301,5738, 1317, 96,522,33,37,128
Texas,66682,25841,59,22018, 941, 2882,17,1,0,12
Utah,3810,1064,10,1024, 31, 9,3,0,0,0
Vermont,703,69,391,13, 44, 12,141,8,5,30
Virginia,10040,3594,232,965, 1985, 644,76,2,5,45
Washington,13394,5356,57,3791, 541, 1024,21,1,1,5
West Virginia,2493,164,178,85, 4, 75,67,4,2,15
Wisconsin,11185,3474,12,2313, 347, 814,6,0,2,2
Wyoming,773,44,5,23, 16, 5,25,3,2,2